sample	species	tissue	animal	sex
cattle3.cd4	bos_taurus	cd4	cattle3	female
cattle2.cd4	bos_taurus	cd4	cattle2	male
cattle4.cd4	bos_taurus	cd4	cattle4	female
cattle1.cd4	bos_taurus	cd4	cattle1	male
cattle3.cd8	bos_taurus	cd8	cattle3	female
cattle2.cd8	bos_taurus	cd8	cattle2	male
cattle4.cd8	bos_taurus	cd8	cattle4	female
cattle1.cd8	bos_taurus	cd8	cattle1	male
goat3.cd4	capra_hircus	cd4	goat3	female
goat1.cd4	capra_hircus	cd4	goat1	male
goat4.cd4	capra_hircus	cd4	goat4	female
goat3.cd8	capra_hircus	cd8	goat3	female
goat2.cd8	capra_hircus	cd8	goat2	male
goat1.cd8	capra_hircus	cd8	goat1	male
goat4.cd8	capra_hircus	cd8	goat4	female
goat2.liver	capra_hircus	liver	goat2	male
goat3.liver	capra_hircus	liver	goat3	female
goat1.liver	capra_hircus	liver	goat1	male
goat4.liver	capra_hircus	liver	goat4	female
chicken3.cd4	gallus_gallus	cd4	chicken3	male
chicken2.cd4	gallus_gallus	cd4	chicken2	male
chicken1.cd4	gallus_gallus	cd4	chicken1	female
chicken2.cd8	gallus_gallus	cd8	chicken2	male
chicken2.liver	gallus_gallus	liver	chicken2	male
chicken3.liver	gallus_gallus	liver	chicken3	female
chicken1.liver	gallus_gallus	liver	chicken1	male
chicken4.liver	gallus_gallus	liver	chicken4	female
pig1.cd4	sus_scrofa	cd4	pig1	male
pig2.cd4	sus_scrofa	cd4	pig2	male
pig3.cd4	sus_scrofa	cd4	pig3	female
pig4.cd4	sus_scrofa	cd4	pig4	female
pig1.cd8	sus_scrofa	cd8	pig1	male
pig2.cd8	sus_scrofa	cd8	pig2	male
pig3.cd8	sus_scrofa	cd8	pig3	female
pig4.cd8	sus_scrofa	cd8	pig4	female
pig1.liver	sus_scrofa	liver	pig1	male
pig2.liver	sus_scrofa	liver	pig2	male
pig3.liver	sus_scrofa	liver	pig3	female
